doc_id,source,document,LLM_q,orig_questions
business_5.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"Peugeot deal boosts Mitsubishi
Struggling Japanese car maker Mitsubishi Motors has struck a deal to supply French car maker Peugeot with 30,000 sports utility vehicles (SUV).
The two firms signed a Memorandum of Understanding, and say they expect to seal a final agreement by Spring 2005. The alliance comes as a badly-needed boost for loss-making Mitsubishi, after several profit warnings and poor sales. The SUVs will be built in Japan using Peugeot's diesel engines and sold mainly in the European market. Falling sales have left Mitsubishi Motors with underused capacity, and the production deal with Peugeot gives it a chance to utilise some of it.
In January, Mitsubishi Motors issued its third profits warning in nine months, and cut its sales forecasts for the year to March 2005. Its sales have slid 41% in the past year, catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles. As a result, the Japanese car maker has sought a series of financial bailouts. Last month it said it was looking for a further 540bn yen ($5.2bn; 2.77bn pounds) in fresh financial backing, half of it from other companies in the Mitsubishi group. US-German carmaker DaimlerChrylser, a 30% shareholder in Mitsubishi Motors, decided in April 2004 not to pump in any more money. The deal with Peugeot was celebrated by Mitsubishi's newly-appointed chief executive Takashi Nishioka, who took over after three top bosses stood down last month to shoulder responsibility for the firm's troubles. Mitsubishi Motors has forecast a net loss of 472bn yen in its current financial year to March 2005. Last month, it signed a production agreement with Japanese rival Nissan Motor to supply it with 36,000 small cars for sale in Japan. It has been making cars for Nissan since 2003.",gpt-3.5,"1. How many SUVs will Mitsubishi be supplying to Peugeot?
2. When do Mitsubishi and Peugeot expect to seal a final agreement?
3. Where will the SUVs be built and using what engines?
4. Why has Mitsubishi been experiencing poor sales and profit warnings?
5. How much has Mitsubishi's sales decreased in the past year?
6. How much financial backing is Mitsubishi seeking?
7. Who is Mitsubishi's largest shareholder and what was their decision in April 2004?
8. Who is Mitsubishi's newly-appointed chief executive?
9. What is Mitsubishi's forecasted net loss for the financial year to March 2005?
10. Who did Mitsubishi sign a production agreement with to supply small cars for sale in Japan?"
business_6.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"US adds more jobs than expected
The US economy added 337,000 jobs in October - a seven-month high and far more than Wall Street expectations.
In a welcome economic boost for newly re-elected President George W Bush, the Labor Department figures come after a slow summer of weak jobs gains. Jobs were created in every sector of the US economy except manufacturing. While the separate unemployment rate went up to 5.5% from 5.4% in September, this was because more people were now actively seeking work.
The 337,000 new jobs added to US payrolls in October was twice the 169,000 figure that Wall Street economists had forecast. In addition, the Labor Department revised up the number of jobs created in the two previous months - to 139,000 in September instead of 96,000, and to 198,000 in August instead of 128,000. The better than expected jobs data had an immediate upward effect on stocks in New York, with the main Dow Jones index gaining 45.4 points to 10,360 by late morning trading. ""It looks like the job situation is improving and that this will support consumer spending going into the holidays, and offset some of the drag caused by high oil prices this year,"" said economist Gary Thayer of AG Edwards & Sons.
Other analysts said the upbeat jobs data made it more likely that the US Federal Reserve would increase interest rates by a quarter of a percentage point to 2% when it meets next week. ""It should empower the Fed to clearly do something,"" said Robert MacIntosh, chief economist with Eaton Vance Management in Boston. Kathleen Utgoff, commissioner of the Bureau of Labor, said many of the 71,000 new construction jobs added in October were involved in rebuilding and clean-up work in Florida, and neighbouring Deep South states, following four hurricanes in August and September. The dollar rose temporarily on the job creation news before falling back to a new record low against the euro, as investors returned their attention to other economic factors, such as the US's record trade deficit. There is also speculation that President Bush will deliberately try to keep the dollar low in order to assist a growth in exports.",gpt-3.5,"1. How many jobs were added to the US economy in October?
2. How does the job growth in October compare to Wall Street expectations?
3. In which sector of the US economy were jobs not created in October?
4. Why did the unemployment rate increase in October?
5. How did the stock market react to the better than expected jobs data?
6. What impact did the job growth have on consumer spending?
7. What is the likelihood that the US Federal Reserve will increase interest rates?
8. What was the main reason for the increase in construction jobs in October?
9. How did the news of job creation affect the value of the US dollar?
10. What speculation is there about President Bush's intention regarding the value of the US dollar?"
business_8.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"Weak dollar trims Cadbury profits
The world's biggest confectionery firm, Cadbury Schweppes, has reported a modest rise in profits after the weak dollar took a bite out of its results.
Underlying pre-tax profits rose 1% to 933m pounds ($1.78bn) in 2004, but would have been 8% higher if currency movements were stripped out. The owner of brands such as Dairy Milk, Dr Pepper and Snapple generates more than 80% of its sales outside the UK. Cadbury said it was confident it would hit its targets for 2005. ""While the external commercial environment remains competitive, we are confident that we have the strategy, brands and people to deliver within our goal ranges in 2005,"" said chief executive Todd Stitzer.
The modest profit rise had been expected by analysts after the company said in December that the poor summer weather had hit soft drink sales in Europe.
Cadbury said its underlying sales were up by 4% in 2004. Growth was helped by its confectionery brands - including Cadbury, Trident and Halls - which enjoyed a ""successful"" year, with like-for-like sales up 6%. Drinks sales were up 2% with strong growth in US carbonated soft drinks, led by Dr Pepper and diet drinks, offset by the weaker sales in Europe. Cadbury added that its Fuel for Growth cost-cutting programme had saved 75m pounds in 2004, bringing total cost savings to 100m pounds since the scheme began in mid-2003. The programme is set to close 20% of the group's factories and shed 10% of the workforce. Cadbury Schweppes employs more than 50,000 people worldwide, with about 7,000 in the UK.",gpt-3.5,"1. What was the percentage rise in Cadbury Schweppes' pre-tax profits in 2004?
2. How much higher would Cadbury's profits have been in 2004 if currency movements were stripped out?
3. What percentage of Cadbury's sales are generated outside the UK?
4. Which brands are owned by Cadbury Schweppes?
5. What factors contributed to the growth in Cadbury's sales in 2004?
6. How did the poor summer weather impact Cadbury's sales in Europe?
7. How much money has Cadbury saved through its Fuel for Growth cost-cutting programme?
8. How many factories are set to close as part of Cadbury's cost-cutting programme?
9. How many people worldwide are employed by Cadbury Schweppes?
10. What is Cadbury's CEO Todd Stitzer confident about in terms of hitting targets in 2005?"
business_10.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"Winn-Dixie files for bankruptcy
US supermarket group Winn-Dixie has filed for bankruptcy protection after succumbing to stiff competition in a market dominated by Wal-Mart.
Winn-Dixie, once among the most profitable of US grocers, said Chapter 11 protection would enable it to successfully restructure. It said its 920 stores would remain open, but analysts said it would most likely off-load a number of sites. The Jacksonville, Florida-based firm has total debts of $1.87bn (980m pounds). In its bankruptcy petition it listed its biggest creditor as US foods giant Kraft Foods, which it owes $15.1m.
Analysts say Winn-Dixie had not kept up with consumers' demands and had also been burdened by a number of stores in need of upgrading. A 10-month restructuring plan was deemed a failure, and following a larger-than-expected quarterly loss earlier this month, Winn-Dixie's slide into bankruptcy was widely expected. The company's new chief executive Peter Lynch said Winn-Dixie would use the Chapter 11 breathing space to take the necessary action to turn itself around. ""This includes achieving significant cost reductions, improving the merchandising and customer service in all locations and generating a sense of excitement in the stores,"" he said. Yet Evan Mann, a senior bond analyst at Gimme Credit, said Mr Lynch's job would not be easy, as the bankruptcy would inevitably put off some customers. ""The real big issue is what's going to happen over the next one or two quarters now that they are in bankruptcy and all their customers see this in their local newspapers,"" he said.",gpt-3.5,"1. Why did Winn-Dixie file for bankruptcy?
2. How many stores does Winn-Dixie have?
3. What is the total debt of Winn-Dixie?
4. Who is Winn-Dixie's biggest creditor?
5. What factors contributed to Winn-Dixie's decline?
6. What was the outcome of Winn-Dixie's 10-month restructuring plan?
7. Who is Winn-Dixie's new chief executive?
8. What actions does Winn-Dixie plan to take during the Chapter 11 process?
9. How do analysts believe the bankruptcy will affect Winn-Dixie's customers?
10. What challenges does the new CEO of Winn-Dixie face in turning the company around?"
business_12.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"Bank voted 8-1 for no rate change
The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's rate-setting body, minutes have shown.
One member of the Bank's Monetary Policy Committee (MPC) - Paul Tucker - voted to raise rates to 5%. The news surprised some analysts who had expected the latest minutes to show another unanimous decision. Worries over growth rates and consumer spending were behind the decision to freeze rates, the minutes showed. The Bank's latest inflation report, released last week, had noted that the main reason inflation might fall was weaker consumer spending.
However, MPC member Paul Tucker voted for a quarter point rise in interest rates to 5%. He argued that economic growth was picking up, and that the equity, credit and housing markets had been stronger than expected.
The Bank's minutes said that risks to the inflation forecast were ""sufficiently to the downside"" to keep rates on hold at its latest meeting. However, the minutes added: ""Some members noted that an increase might be warranted in due course if the economy evolved in line with the central projection"". Ross Walker, UK economist at Royal Bank of Scotland, said he was surprised that a dissenting vote had been made so soon. He said the minutes appeared to be ""trying to get the market to focus on the possibility of a rise in rates"". ""If the economy pans out as they expect then they are probably going to have to hike rates."" However, he added, any rate increase is not likely to happen until later this year, with MPC members likely to look for a more sustainable pick up in consumer spending before acting.",gpt-3.5,"1. What was the vote by the Bank of England's rate-setting body regarding interest rates?
2. Who was the only member of the Monetary Policy Committee to vote for a rate increase?
3. What were the reasons behind the decision to freeze rates?
4. What were the concerns raised in the Bank's latest inflation report?
5. Why did Paul Tucker argue for a quarter point rise in interest rates?
6. What were the risks to the inflation forecast mentioned in the minutes?
7. Why was Ross Walker surprised by the dissenting vote?
8. What are some factors that MPC members are likely to consider before deciding on a rate increase?
9. When is it speculated that a rate increase might occur?
10. What are the indicators that MPC members are likely to look for before hiking rates?"
entertainment_3.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"Legendary music studio to close
The New York music studio where John Lennon spent his final hours is to close next month.
The Hit Factory, which opened 37 years ago, has played host to some of the biggest stars in music, including Paul Simon, Madonna and David Bowie. However, the rise in digital recording has affected business at the studio, which is relocating to smaller premises in Miami. Lennon recorded his final album Double Fantasy at the studio in 1979.
The studio was founded by Jerry Ragovoy in 1968. In 1975 it was sold to fellow producer Edward Germano, who turned it into a 100,000 square foot studio with seven recording rooms and live mastering suites. His first client was Stevie Wonder, who recorded part of his classic album Songs In The Key Of Life there. Other well-known albums to be recorded or partially recorded at the studio include Bruce Springsteen's Born In The USA, the Rolling Stones' Emotional Rescue and Paul Simon's Graceland. Michael Jackson, Billy Joel, Jay-Z and Beyonce are also among artists who have used the Hit Factory in the past, as well as 50 Cent who survived an attempt on his life as he left the premises in 2000. The studio made history in 1994 when it won a record 41 Grammy nominations for songs recorded, mastered or mixed there, including the soundtrack to the Whitney Houston film The Bodyguard.",gpt-3.5,"1. When is the legendary music studio set to close?
2. Who are some of the biggest stars in music that have recorded at the Hit Factory?
3. Why is the studio relocating to Miami?
4. Who founded the Hit Factory?
5. How many recording rooms and live mastering suites does the studio have?
6. Which famous artist recorded part of his album Songs In The Key Of Life at the studio?
7. What well-known albums were recorded or partially recorded at the Hit Factory?
8. Which artists have used the Hit Factory in the past?
9. What happened to 50 Cent as he left the premises in 2000?
10. How many Grammy nominations did the studio win in 1994?"
entertainment_6.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"Beastie Boys win sampling battle
US rappers Beastie Boys have won their long-running battle over the use of a sample in their song Pass the Mic.
The punk-rappers used three notes of music from flautist James Newton's Choir in their track from 1992. Although the group had paid a licence fee for the sample, Mr Newton said his copyright had been infringed. But the US Court of Appeal upheld its original decision that the group did not have to pay an additional fee to license the underlying composition. The Beastie Boys - Michael Diamond, Adam Horowitz, and Adam Yauch - are considered to be one of early pioneers of sampling music.
Sampling, now a standard practice among musicians, involves taking a segment of one track and using it in a different song. A three-judge panel of the court held in 2003 that the band had abided by copyright protections by paying a licence fee for a sample of Mr Newton's recording. That finding upheld a lower-court dismissal of the case in favour of the Beastie Boys. ""We hold that Beastie Boys' use of a brief segment of that composition, consisting of three notes separated by a half-step over a background C note, is not sufficient to sustain a claim for infringement of Newton's copyright,"" Chief Judge Mary Schroeder wrote in her opinion. Mr Newton is a critically acclaimed jazz and classical flutist, composer, performer, and university professor. Mr Newton and the Beastie Boys were not available for comment.",gpt-3.5,"1. Who are the members of the Beastie Boys?
2. What sample did the Beastie Boys use in their song Pass the Mic?
3. What was the source of the sample used by the Beastie Boys?
4. What was James Newton's argument regarding the use of his sample by the Beastie Boys?
5. What did the US Court of Appeal decide in the case between James Newton and the Beastie Boys?
6. What is sampling in music?
7. How did the court ruling in 2003 impact the Beastie Boys' case?
8. Who wrote the opinion for the court ruling in favor of the Beastie Boys?
9. What is James Newton's background in music?
10. Were the Beastie Boys and James Newton available for comment after the court ruling?"
entertainment_14.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"Comeback' show for Friends star
Friends actress Lisa Kudrow is to play the lead role in a new series about a one-time sitcom star, according to the Hollywood reporter.
Thirteen episodes of Comeback have been commissioned by cable channel HBO, home of hits such as Sex And The City. Kudrow, who played Phoebe in Friends, co-wrote the pilot episode and will also act as executive producer. HBO has been looking for its next big comedy hit since Sex And The City drew to a close in the US in February. Comeback is the first 30-minute comedy series that the channel has picked up since the Sex And The City drew to the end of its six-year-run. Friends ended its 10-year run on the NBC network in May, and attentions have turned to which projects its six individual stars would pursue.
Matt LeBlanc is starring in a Friends spin-off sitcom, charting Joey's fortunes in Los Angeles as he pursues his acting career. Jennifer Aniston, who was Rachel in the long-running show, has enjoyed a series of successful film appearances, with further projects in the pipeline. Courteney Cox Arquette (Monica) has been working on a drama project along with husband David Arquette for HBO, called The Rise And Fall Of Taylor Kennedy. Matthew Perry, who played Chandler, has appeared on the West End stage, and has a film, The Beginning Of Wisdom, currently in production. And David Schwimmer (Ross) directed during his time on Friends, and has also worked on Joey.",gpt-3.5,"1. Who is starring in the new series Comeback?
2. How many episodes of Comeback have been commissioned?
3. What channel has commissioned Comeback?
4. What role did Lisa Kudrow play in Friends?
5. What is the Friends spin-off sitcom starring Matt LeBlanc about?
6. What projects has Jennifer Aniston been working on since Friends ended?
7. What project has Courteney Cox Arquette been working on for HBO?
8. What has Matthew Perry been working on since Friends ended?
9. What has David Schwimmer been working on since Friends ended?
10. What role did Lisa Kudrow have in the production of Comeback?"
food_1.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"Grilled Shrimp Tacos with Avocado-Corn Salsa
instruction 
Remove the corn kernels from the cobs: Place a large container on a damp towel. Fold a paper towel into fourths and place it inside the container. Stand 1 ear of corn on the paper towel, using the stem as a handle. Using a paring knife, slice downward, letting the kernels fall into the container. Rotate the cob and continue until all the kernels have been removed; discard the cob. Repeat with the remaining corn. Discard the paper towel.
Add the scallions, tomatoes, measured lime juice, cilantro, serrano, and measured salt and stir to combine.
Halve and pit the avocados. Using a paring knife, score the flesh of the avocado halves in a 1/4-inch-wide crosshatch pattern (be careful not to cut through the skin). Using a spoon, scoop the avocado pieces into the corn mixture and gently fold to combine.
Taste and add more lime juice or salt as needed; set aside.
For the tacos:
Heat an outdoor grill to high (about 450 F to 550 F). Meanwhile, assemble the shrimp.
Whisk the lime juice, oil, chipotle powder, salt, and cumin together in a large bowl. Add the shrimp and toss to combine.
Skewer each shrimp through the tail and head ends, leaving about 1/4 inch of space between each shrimp. Transfer the skewers to a baking sheet.
Place the skewers in a single layer on the grill without touching. Close the grill and cook until grill marks appear on the bottom, about 4 minutes. Flip the skewers, close the grill, and cook until the shrimp are just firm, about 1 minute more. Transfer the skewers to a clean baking sheet.
Remove and discard the skewers, transfer the shrimp to a cutting board, and coarsely chop. Place in a serving bowl.
Serve the shrimp with the tortillas and salsa.",gpt-3.5,"1. How do you remove the corn kernels from the cobs?
2. What ingredients are needed for the avocado-corn salsa?
3. How do you prepare the avocados for the salsa?
4. How do you adjust the seasoning of the salsa to taste?
5. What temperature should the outdoor grill be heated to for the shrimp tacos?
6. What ingredients are in the marinade for the shrimp?
7. How do you skewer the shrimp for grilling?
8. How long do you cook the shrimp on the grill for?
9. How do you serve the shrimp tacos?
10. What other ingredients can be added to the tacos for additional flavor?"
food_2.txt,https://www.kaggle.com/datasets/jensenbaxter/10dataset-text-document-classification?resource=download,"Mexican BBQ Chicken
instruction
Combine all of the marinade ingredients except the orange juice in a blender or food processor. Puree until smooth. Add the orange juice and puree until combined. Pour into a large mixing bowl and add the chicken. Cover and marinate overnight in the refrigerator.
Remove the chicken from the marinade and pat it dry with paper towels. Let stand at room temperature for 30 minutes while you prepare a grill.
Prepare an outdoor grill for medium heat; if using a charcoal grill, set up the coals for indirect heat. When the grill is ready, use tongs to rub the grate with several layers of paper towels dipped in vegetable oil (or spray with cooking spray). You can also use a stove-top grill over medium-high heat. Spray it with cooking spray before proceeding.
Arrange the chicken over the hottest part of the grill and cook, turning once halfway through, for about 10 minutes, or until the skin starts to crisp but not burn. Move the chicken pieces to the cooler part of the grill, cover, and cook, turning occasionally, until cooked through (a meat thermometer should read 165-170 F), about 15 to 20 minutes longer. If using a stove-top grill or gas grill, turn the heat to medium low and cook until cooked through.",gpt-3.5,"1. What ingredients are needed to make the marinade for Mexican BBQ Chicken?
2. How long should the chicken be marinated for?
3. How should the chicken be prepared before grilling?
4. How should the grill be prepared for cooking the chicken?
5. How long should the chicken be cooked over the hottest part of the grill?
6. How should the chicken be cooked after moving it to the cooler part of the grill?
7. What temperature should the chicken reach to be considered cooked through?
8. Can a stove-top grill be used to cook the Mexican BBQ Chicken?
9. What should be done to the grill before cooking on it?
10. How should the chicken be turned while cooking on the grill?"
