doc_id,q_id,is_confusing,question,LLM_r,response
business_5.txt,1,no,How many sports utility vehicles (SUV) will Mitsubishi supply to Peugeot?,gpt-3.5,"Mitsubishi will supply Peugeot with 30,000 sports utility vehicles (SUV)."
business_5.txt,1,yes,How many sports utility vehicles (SUV) will Peugeot supply to Mitsubishi?,gpt-3.5,"Peugeot will supply Mitsubishi with 30,000 sports utility vehicles (SUV)."
business_5.txt,2,no,When do Mitsubishi and Peugeot expect to seal a final agreement?,gpt-3.5,Mitsubishi and Peugeot expect to seal a final agreement by Spring 2005.
business_5.txt,2,yes,When do Mitsubishi and Peugeot expect to cancel a final agreement?,gpt-3.5,Mitsubishi and Peugeot expect to seal a final agreement by Spring 2005.
business_5.txt,3,no,Where will the SUVs be built and what type of engines will they use?,gpt-3.5,The SUVs will be built in Japan using Peugeot's diesel engines.
business_5.txt,3,yes,Where will the SUVs be built and what type of fuel will they use?,gpt-3.5,The SUVs will be built in Japan using Peugeot's diesel engines.
business_5.txt,4,no,How much have Mitsubishi's sales fallen in the past year?,gpt-3.5,Mitsubishi's sales have fallen 41% in the past year.
business_5.txt,4,yes,How much have Mitsubishi's sales increased in the past year?,gpt-3.5,Mitsubishi's sales have actually decreased by 41% in the past year.
business_5.txt,5,no,Why has Mitsubishi sought financial bailouts?,gpt-3.5,"Mitsubishi sought financial bailouts because its sales have slid 41% in the past year, catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles."
business_5.txt,5,yes,Why has Mitsubishi avoided financial bailouts?,gpt-3.5,"Mitsubishi has avoided financial bailouts by signing production agreements with other companies, such as Peugeot and Nissan, to utilize its underused capacity and generate revenue."
business_5.txt,6,no,How much financial backing is Mitsubishi looking for?,gpt-3.5,Mitsubishi is looking for a further 540bn yen ($5.2bn; 2.77bn pounds) in fresh financial backing.
business_5.txt,6,yes,How much financial backing is Mitsubishi looking to give?,gpt-3.5,Mitsubishi is looking for a further 540bn yen ($5.2bn; 2.77bn pounds) in fresh financial backing.
business_5.txt,7,no,Which company decided not to provide Mitsubishi with more money?,gpt-3.5,DaimlerChrysler
business_5.txt,7,yes,Which company decided to provide Mitsubishi with more money?,gpt-3.5,US-German carmaker DaimlerChrysler decided not to provide Mitsubishi with more money.
business_5.txt,8,no,Who is Mitsubishi's newly-appointed chief executive?,gpt-3.5,Mitsubishi's newly-appointed chief executive is Takashi Nishioka.
business_5.txt,8,yes,Who is Mitsubishi's newly-appointed chief executive assistant?,gpt-3.5,Takashi Nishioka
business_5.txt,9,no,How much of a net loss is Mitsubishi Motors forecasting in its current financial year?,gpt-3.5,Mitsubishi Motors is forecasting a net loss of 472bn yen in its current financial year to March 2005.
business_5.txt,9,yes,How much profit is Mitsubishi Motors forecasting in its current financial year?,gpt-3.5,Mitsubishi Motors is forecasting a net loss of 472bn yen in its current financial year.
business_5.txt,10,no,Who did Mitsubishi sign a production agreement with to supply small cars for sale in Japan?,gpt-3.5,Mitsubishi signed a production agreement with Japanese rival Nissan Motor to supply small cars for sale in Japan.
business_5.txt,10,yes,Who did Mitsubishi sign a production disagreement with to supply small cars for sale in Japan?,gpt-3.5,"Mitsubishi signed a production agreement with Japanese rival Nissan Motor to supply it with 36,000 small cars for sale in Japan."
business_6.txt,1,no,How many jobs were added to the US economy in October?,gpt-3.5,"337,000 jobs were added to the US economy in October."
business_6.txt,1,yes,How many jobs were subtracted from the US economy in October?,gpt-3.5,"No jobs were subtracted from the US economy in October. The document states that 337,000 jobs were added to US payrolls in October."
business_6.txt,2,no,What was the unemployment rate in September and October?,gpt-3.5,The unemployment rate was 5.4% in September and 5.5% in October.
business_6.txt,2,yes,What was the employment rate in September and October?,gpt-3.5,The unemployment rate was 5.4% in September and 5.5% in October.
